"Time","L2"
2024-01-01 18:10:00,12.500 K
2024-01-01 18:15:00,12.496 K
2024-01-01 18:20:00,12.500 K
2024-01-01 18:25:00,12.498 K
2024-01-01 18:30:00,12.502 K
2024-01-01 18:35:00,12.495 K
2024-01-01 18:40:00,12.500 K
2024-01-01 18:45:00,12.502 K
2024-01-01 18:50:00,12.494 K
2024-01-01 18:55:00,12.497 K
2024-01-01 19:00:00,12.496 K
2024-01-01 19:05:00,12.495 K
2024-01-01 19:10:00,12.492 K
2024-01-01 19:15:00,12.496 K
2024-01-01 19:20:00,12.496 K
2024-01-01 19:25:00,12.489 K
2024-01-01 19:30:00,12.485 K
2024-01-01 19:35:00,12.484 K
2024-01-01 19:40:00,12.493 K
2024-01-01 19:45:00,12.495 K
2024-01-01 19:50:00,12.486 K
2024-01-01 19:55:00,12.490 K
2024-01-01 20:00:00,12.487 K
2024-01-01 20:05:00,12.486 K
2024-01-01 20:10:00,12.488 K
2024-01-01 20:15:00,12.480 K
2024-01-01 20:20:00,12.481 K
2024-01-01 20:25:00,12.479 K
2024-01-01 20:30:00,12.477 K
2024-01-01 20:35:00,12.478 K
2024-01-01 20:40:00,12.480 K
2024-01-01 20:45:00,12.478 K
2024-01-01 20:50:00,12.483 K
2024-01-01 20:55:00,12.478 K
2024-01-01 21:00:00,12.470 K
2024-01-01 21:05:00,12.478 K
2024-01-01 21:10:00,12.477 K
2024-01-01 21:15:00,12.473 K
2024-01-01 21:20:00,12.474 K
2024-01-01 21:25:00,12.470 K
2024-01-01 21:30:00,12.462 K
2024-01-01 21:35:00,12.464 K
2024-01-01 21:40:00,12.462 K
2024-01-01 21:45:00,12.459 K
2024-01-01 21:50:00,12.448 K
2024-01-01 21:55:00,12.449 K
2024-01-01 22:00:00,12.448 K
2024-01-01 22:05:00,12.447 K
2024-01-01 22:10:00,12.445 K
2024-01-01 22:15:00,12.442 K
2024-01-01 22:20:00,12.435 K
2024-01-01 22:25:00,12.434 K
2024-01-01 22:30:00,12.426 K
2024-01-01 22:35:00,12.437 K
2024-01-01 22:40:00,12.428 K
2024-01-01 22:45:00,12.427 K
2024-01-01 22:50:00,12.425 K
2024-01-01 22:55:00,12.430 K
2024-01-01 23:00:00,12.427 K
2024-01-01 23:05:00,12.415 K
2024-01-01 23:10:00,12.413 K
2024-01-01 23:15:00,12.410 K
2024-01-01 23:20:00,12.410 K
2024-01-01 23:25:00,12.405 K
2024-01-01 23:30:00,12.402 K
2024-01-01 23:35:00,12.400 K
2024-01-01 23:40:00,12.392 K
2024-01-01 23:45:00,12.390 K
2024-01-01 23:50:00,12.391 K
2024-01-01 23:55:00,12.386 K
2024-01-02 00:00:00,12.387 K
2024-01-02 00:05:00,12.388 K
2024-01-02 00:10:00,12.383 K
2024-01-02 00:15:00,12.383 K
2024-01-02 00:20:00,12.390 K
2024-01-02 00:25:00,12.383 K
2024-01-02 00:30:00,12.379 K
2024-01-02 00:35:00,12.379 K
2024-01-02 00:40:00,12.381 K
2024-01-02 00:45:00,12.381 K
2024-01-02 00:50:00,12.381 K
2024-01-02 00:55:00,12.381 K
2024-01-02 01:00:00,12.379 K
2024-01-02 01:05:00,12.371 K
2024-01-02 01:10:00,12.372 K
2024-01-02 01:15:00,12.376 K
2024-01-02 01:20:00,12.376 K
2024-01-02 01:25:00,12.383 K
2024-01-02 01:30:00,12.382 K
2024-01-02 01:35:00,12.381 K
2024-01-02 01:40:00,12.377 K
2024-01-02 01:45:00,12.378 K
2024-01-02 01:50:00,12.383 K
2024-01-02 01:55:00,12.388 K
2024-01-02 02:00:00,12.388 K
2024-01-02 02:05:00,12.384 K
2024-01-02 02:10:00,12.388 K
2024-01-02 02:15:00,12.389 K
